Date,Description,With Friends,Takeaway for Work,Groceries,Subscriptions,Transport,Games,Merch,Clothes,Tech,Transfers,Transfers to Family,Business Expenditure,Education,Family,Utilities,Misc.
2022-08-16 00:00:00,ARLBERG HOTEL MOUNT BULLER VI AUS Card   ,,,,,,,,,,,,,,36.0,,
2022-08-17 00:00:00,VANTAGE FUELS MANSFIEL MANSFIELD VI AUS Card   ,,,,,,,,,,,,,,,,137.95
2022-08-17 00:00:00,SMPMustafas Kebabs Euroa AU AUS Card   ,,,,,,,,,,,,,,58.87,,
2022-08-17 00:00:00,OLIVERS EUROA PTY LIMI EUROA AUS Card   ,,,,,,,,,,,,,,4.9,,
2022-08-17 00:00:00,ARLBERG HOTEL MOUNT BULLER VI AUS Card   ,,,,,,,,,,,,,,409.5,,
2022-08-17 00:00:00,ARLBERG HOTEL MOUNT BULLER VI AUS Card   ,,,,,,,,,,,,,,58.0,,
2022-08-18 00:00:00,BRUNSWICK FAMILY DNTL BRUNSWICK VI AUS Card   ,,,,,,,,,,,,,,44.8,,
2022-08-18 00:00:00,Nintendo CA806030817 Scoresby AU AUS Card   ,,,,,,79.95,,,,,,,,,,
2022-08-18 00:00:00,McDonalds,,8.8,,,,,,,,,,,,,,
2022-08-19 00:00:00,Top Notch,,12.18,,,,,,,,,,,,,,
2022-08-19 00:00:00,Chemist Warehouse,,,,,,,,,,,,,,,,16.78
2022-08-19 00:00:00,Woolworths,,,32.72,,,,,,,,,,,,,
2022-08-20 00:00:00, DICKSMITH 4029357733 AU AUS Card   ,,,,,,,,,509.0,,,,,,,
2022-08-20 00:00:00,JB Hi-Fi,,,,,,,,,20.95,,,,,,,
2022-08-20 00:00:00,Noodlebox,,15.76,,,,,,,,,,,,,,
2022-08-23 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2022-08-23 00:00:00,AUST ELECTORAL COMM SYDNEY NS AUS Card   ,,,,,,,,,,,,,,,,20.0
2022-08-23 00:00:00,JB Hi-Fi,,,,,,,,,29.95,,,,,,,
2022-08-23 00:00:00,Zeus Street Greek,,14.5,,,,,,,,,,,,,,
2022-08-24 00:00:00,Transfer to CBA A/c NetBank Everyday Offset,,,,,,,,,,,300.0,,,,,
2022-08-24 00:00:00,PAYSTAY MELBOURNE AUS Card   ,,,,,10.0,,,,,,,,,,,
2022-08-24 00:00:00,PAYSTAY MELBOURNE AUS Card   ,,,,,11.84,,,,,,,,,,,
2022-08-27 00:00:00,Transfer To Everyday Offset CommBank App Everyday Offset,,,,,,,,,,,60.0,,,,,
2022-08-29 00:00:00,Transfer To Truman Wang CommBank App Hua - Karaoke,35.0,,,,,,,,,,,,,,,
2022-08-29 00:00:00,Transfer To Zhijie Cao CommBank App Hua - HSP,10.6,,,,,,,,,,,,,,,
2022-08-29 00:00:00,Transfer To Everyday Offset CommBank App Eveyday Offset,,,,,,,,,,,100.0,,,,,
2022-08-29 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,3500.0,,,,,,
2022-08-30 00:00:00,Transfer To Everyday Offset CommBank App Eveyday Offset,,,,,,,,,,,300.0,,,,,
2022-08-30 00:00:00,STONNINGTON PAY & DISP MALVERN AUS Card   ,,,,,,,,,,,,,,,,5.3
2022-08-31 00:00:00,Hunky Dory,,11.5,,,,,,,,,,,,,,
2022-08-31 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2022-08-31 00:00:00,MALVERN VALE HOTEL MALVERN VI AUS Card   ,,,,,,,,,,,,,,,,17.0
2022-09-02 00:00:00,Transfer To Zhijie Cao CommBank App Super Cool GPU,300.0,,,,,,,,,,,,,,,
2022-09-04 00:00:00,Yarra Valley Water,,,,,,,,,,,,,,,174.23,
2022-09-05 00:00:00,CENTRELINK NetBank BPAY 21915 30622023606,,,,,,,,,,,,,,217.08,,
2022-09-06 00:00:00, SMARTCASES 0416449766 AU AUS Card   ,,,,,,,,,,,,,,,,9.99
2022-09-06 00:00:00,HUNG FONG VIC PTY LTD MELBOURNE AUS Card   ,,,,,,,,,,,,,,,,10.08
2022-09-06 00:00:00,Universal Restaurant Carlton VI AUS Card   ,23.04,,,,,,,,,,,,,,,
2022-09-10 00:00:00,Hero Sushi,,8.0,,,,,,,,,,,,,,
2022-09-11 00:00:00,Transfer To Everyday Offset CommBank App Eveyday Offset,,,,,,,,,,,200.0,,,,,
2022-09-11 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,2700.0,,,,,,
2022-09-13 00:00:00,Spotify,,,,18.99,,,,,,,,,,,,
2022-09-13 00:00:00,Crunchyroll,,,,7.99,,,,,,,,,,,,
2022-09-13 00:00:00,Mighty Moonee Ponds,,8.12,,,,,,,,,,,,,,
2022-09-13 00:00:00,Mighty Moonee Ponds,,26.39,,,,,,,,,,,,,,
2022-09-18 00:00:00,VICROADS NetBank BPAY 216291 527171084060737 Car Rego Renew,,,,,864.4,,,,,,,,,,,
2022-09-20 00:00:00,Zeus Street Greek,,12.0,,,,,,,,,,,,,,
2022-09-22 00:00:00,IGA,,,,,,,,,,,,,,,,15.71
2022-09-27 00:00:00,IGA,,,,,,,,,,,,,,,,22.0
2022-09-27 00:00:00,Woolworths,,,111.07,,,,,,,,,,,,,
2022-09-27 00:00:00,BP MALVERN 0559 MALVERN VI AUS Card   ,,,,,,,,,,,,,,,,7.9
2022-09-28 00:00:00,Top Notch,,12.18,,,,,,,,,,,,,,
2022-09-28 00:00:00,Melbourne Airport Melbourne Air VI AUS Card   ,,,,,,,,,,,,,,,,15.15
2022-09-29 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2022-10-01 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,3500.0,,,,,,
2022-10-02 00:00:00,Cardless Cash for collection For Noodles and Ha,,,,,,,,,,,,,,,,400.0
2022-10-03 00:00:00,ASIC NetBank BPAY 17301 2296264698145 Business Late Paym,,,,,,,,,,,,275.0,,,,
2022-10-04 00:00:00,REPCO BRUNSWICK VI AUS Card   ,,,,,,,,,,,,31.0,,,,
2022-10-04 00:00:00,IGA,,,,,,,,,,,,,,,,12.85
2022-10-04 00:00:00,Woolworths,,,52.2,,,,,,,,,,,,,
2022-10-04 00:00:00, SCORPIONTEC Sydney AU,,,,,,,,,92.0,,,,,,,
2022-10-05 00:00:00,SMPRooster Delight C Moonee Ponds AU AUS Card   ,,,,,,,,,,,,,,,,13.72
2022-10-06 00:00:00,Hero Sushi,,23.8,,,,,,,,,,,,,,
2022-10-08 00:00:00,Top Notch,,5.58,,,,,,,,,,,,,,
2022-10-11 00:00:00,Transfer To Huang W CommBank App Vanessa's flowers - Hua,,,,,,,,,,,,,,,,14.16
2022-10-12 00:00:00,Spotify,,,,18.99,,,,,,,,,,,,
2022-10-12 00:00:00,Crunchyroll,,,,7.99,,,,,,,,,,,,
2022-10-12 00:00:00,EB River of Wishes MJ 801-413-7200 VI AUS Card   ,,,,,,,,,,,,,,,,150.34
2022-10-12 00:00:00,Kmart,,,8.0,,,,,,,,,,,,,
2022-10-13 00:00:00,Zeus Street Greek,,13.5,,,,,,,,,,,,,,
2022-10-14 00:00:00,Coles Express,,,80.35,,,,,,,,,,,,,
2022-10-14 00:00:00,Woolworths,,,15.3,,,,,,,,,,,,,
2022-10-18 00:00:00,Hero Sushi,,13.5,,,,,,,,,,,,,,
2022-10-19 00:00:00,Hunky Dory,,3.4,,,,,,,,,,,,,,
2022-10-21 00:00:00,Woolworths,,,20.19,,,,,,,,,,,,,
2022-10-25 00:00:00,Noodlebox,,23.33,,,,,,,,,,,,,,
2022-10-28 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2022-10-29 00:00:00,Eastlink,,,,,55.0,,,,,,,,,,,
2022-10-31 00:00:00,Transfer to other Bank NetBank Bang Chen,,,,,,,,,,,,,,,,10000.0
2022-11-01 00:00:00,Nintendo CA849399981 Scoresby AU AUS Card   ,,,,,,37.47,,,,,,,,,,
2022-11-02 00:00:00,IGA,,,,,,,,,,,,,,,,10.3
2022-11-03 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,186.94
2022-11-05 00:00:00,Sir Duke,,,,,,,,,,,,,,,,62.93
2022-11-10 00:00:00,Nintendo CA854157371 Scoresby AU AUS Card   ,,,,,,97.67,,,,,,,,,,
2022-11-10 00:00:00,7-Eleven,,,,,92.19,,,,,,,,,,,
2022-11-12 00:00:00,MALVERN VALE HOTEL MALVERN VI AUS Card   ,,,,,,,,,,,,,,,,34.0
2022-11-12 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2022-11-13 00:00:00,Transfer To Dmitri NetBank Schnitzel and Lemon Lime and ...,,,,,,,,,,,,,,,,24.7
2022-11-15 00:00:00,LOST (AUSTRALIA STAT CARLTON VI AUS Card   ,,,,,,,,,,,,,,,,45.0
2022-11-15 00:00:00,Spotify,,,,18.99,,,,,,,,,,,,
2022-11-29 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2022-12-01 00:00:00,Tango Energy,,,,,,,,,,,,,,,,35.28
2022-12-01 00:00:00,EnergyAustralia,,,,,,,,,,,,,,,,425.25
2022-12-08 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,3200.0,,,,,,
2022-12-08 00:00:00,Zeus Street Greek,,13.5,,,,,,,,,,,,,,
2022-12-13 00:00:00,Spotify,,,,18.99,,,,,,,,,,,,
2022-12-13 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2022-12-15 00:00:00,Zeus Street Greek,,13.0,,,,,,,,,,,,,,
2022-12-17 00:00:00,YOMG Moonee Ponds Moonee Ponds VI AUS Card   ,,,,,,,,,,,,,,,,17.9
2022-12-17 00:00:00,Audit Shield NetBank BPAY 253575 404251257763888 Audit Shield,,,,,,,,,,,,,,,,341.0
2022-12-17 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,9500.0,,,,,,
2022-12-21 00:00:00,ZLRLa La Land CBD Melbourne AU AUS Card   ,,,,,,,,,,,,,,,,52.52
2022-12-21 00:00:00,MCLI PTY LTD MELBOURNE AUS Card   ,,,,,,,,,,,,,,,,57.86
2022-12-21 00:00:00,MCLI PTY LTD MELBOURNE AUS Card   ,,,,,,,,,,,,,,,,40.6
2022-12-22 00:00:00,Noodlebox,,16.21,,,,,,,,,,,,,,
2022-12-24 00:00:00,PHOENICIA RCEPTNS PL MOONEE PONDS VI AUS Card   ,,,,,,,,,,,,,,,,58.4
2022-12-28 00:00:00,Transfer to xx6079 NetBank,,,,,,,,,,17000.0,,,,,,
2022-12-28 00:00:00,Transfer to xx6079 NetBank,,,,,,,,,,7000.0,,,,,,
2022-12-29 00:00:00,BP PENLNK OB 7655 BAXTER VI AUS Card   ,,,,,,,,,,,,,,,,76.21
2022-12-29 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2022-12-29 00:00:00,Gold Leaf,,,,,,,,,,,,,,602.91,,
2022-12-31 00:00:00,CAMPION EDUCATION NUNAWADING AUS Card   ,,,,,,,,,,,,,308.72,,,
2022-12-31 00:00:00,Noodlebox,,16.21,,,,,,,,,,,,,,
2022-12-31 00:00:00,Transfer To Everyday Offset NetBank Hua Chen Li,,,,,,,,,,,10000.0,,,,,
2022-12-31 00:00:00,Transfer to xx6079 NetBank,,,,,,,,,,9000.0,,,,,,
2023-01-04 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,903.99
2023-01-04 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,49.7
2023-01-04 00:00:00,Nintendo CA895260282 Scoresby AU AUS Card   ,,,,,,78.69,,,,,,,,,,
2023-01-04 00:00:00,Nintendo CA895257048 Scoresby AU AUS Card   ,,,,,,25.11,,,,,,,,,,
2023-01-04 00:00:00,SQ HAPPY EATS MOONEE Moonee Ponds AU AUS Card   ,,,,,,,,,,,,,,,,15.0
2023-01-05 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,102.53
2023-01-05 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,5.95
2023-01-05 00:00:00,IKEA PTY LTDTEmpeNSW,,,,,,,,,,,,,,,,484.0
2023-01-07 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2023-01-07 00:00:00,Butchers DinerMelbourneVIC,,,,,,,,,,,,,,,,49.74
2023-01-07 00:00:00,MR. RAMEN SANMelbourneVIC,,,,,,,,,,,,,,,,51.49
2023-01-07 00:00:00,OFFICEWORKS 0320MELBOURNEAUS,,,,,,,,,155.19,,,,,,,
2023-01-07 00:00:00,Butchers DinerMelbourneVIC,,,,,,,,,,,,,,,,25.27
2023-01-07 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2023-01-10 00:00:00,Spotify P201946D3ESydneyAUS,,,,18.99,,,,,,,,,,,,
2023-01-12 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-01-12 00:00:00,Noodlebox,,16.21,,,,,,,,,,,,,,
2023-01-15 00:00:00,Kogan.com FPWKM3CJMelbourneAUS,,,,,,,,,19.57,,,,,,,
2023-01-16 00:00:00,Top Notch,,5.58,,,,,,,,,,,,,,
2023-01-17 00:00:00,Woolworths,,,22.0,,,,,,,,,,,,,
2023-01-18 00:00:00,JB Hi-Fi,,,,,,,,,284.99,,,,,,,
2023-01-18 00:00:00,IKEA PTY LTDTEmpeNSW,,,,,,,,,,,,,,,,69.0
2023-01-22 00:00:00,SQ ELIHATS CAKESSt KildaVI,,,,,,,,,,,,,,,,20.0
2023-01-22 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2023-01-23 00:00:00,BP MALVERN 0559MALVERNVIC,,,,,,,,,,,,,,,,10.0
2023-01-25 00:00:00,Kogan.com 2GWXA2YYMelbourneAUS,,,,,,,,,399.0,,,,,,,
2023-01-26 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2023-01-28 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,106.22
2023-01-28 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,5.95
2023-01-28 00:00:00,Uniqlo,,,,,,,,59.9,,,,,,,,
2023-01-29 00:00:00,JB Hi-Fi,,,,,,,,,294.99,,,,,,,
2023-01-30 00:00:00,McDonalds,,25.25,,,,,,,,,,,,,,
2023-02-01 00:00:00,7-Eleven,,,,,76.01,,,,,,,,,,,
2023-02-02 00:00:00,MARTIN AND MILLIE PTYMOONEE PONDS,,,,,,,,,,,,,,,,51.5
2023-02-04 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2023-02-04 00:00:00,YARRAVALLEYWATER WEBMITCHAM,,,,,,,,,,,,,,,,306.61
2023-02-05 00:00:00,Transfer To Zhijie Cao CommBank App Hua - Karaoke and Pizza,43.57,,,,,,,,,,,,,,,
2023-02-06 00:00:00,McDonalds,,24.65,,,,,,,,,,,,,,
2023-02-08 00:00:00,Mastercard Autopay,,,,,,,,,,820.89,,,,,,
2023-02-09 00:00:00,Eastlink,,,,,35.0,,,,,,,,,,,
2023-02-14 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-02-28 00:00:00,Transfer to xx9221 CommBank app,,,,,,,,,,,,,,,,2000.0
2023-02-28 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,2000.0,,,,,,
2023-02-28 00:00:00,Nintendo CA932153331 Scoresby AU AUS Card   ,,,,,,56.01,,,,,,,,,,
2023-03-04 00:00:00,Tango Energy,,,,,,,,,,,,,,,,135.75
2023-03-10 00:00:00,Transfer To Zhijie Cao CommBank App Hua - Damo's Monitor,29.36,,,,,,,,,,,,,,,
2023-03-14 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-03-28 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,2000.0,,,,,,
2023-04-12 00:00:00,Mastercard Autopay,,,,,,,,,,1211.56,,,,,,
2023-04-13 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-04-30 00:00:00,Transfer to xx6079 CommBank app,,,,,,,,,,5000.0,,,,,,
2023-05-04 00:00:00,Tango Energy,,,,,,,,,,,,,,,,83.11
2023-05-10 00:00:00,Mastercard Autopay,,,,,,,,,,3006.01,,,,,,
2023-05-12 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-05-16 00:00:00,Nintendo CA982305466 Scoresby AU AUS Card   ,,,,,,87.14,,,,,,,,,,
2023-05-23 00:00:00,AMAZON AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,89.99
2023-05-28 00:00:00,Transfer To Vanessa Lin CommBank App Amy's Graduation Flowers...,,,,,,,,,,,,,,,,36.0
2023-06-07 00:00:00,Mastercard Autopay,,,,,,,,,,1771.51,,,,,,
2023-06-13 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-06-14 00:00:00,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card   ,,,,,,,,,,,,,,,,18.98
2023-06-18 00:00:00,McDonalds,,22.4,,,,,,,,,,,,,,
2023-06-19 00:00:00,Top Notch,,8.63,,,,,,,,,,,,,,
2023-06-20 00:00:00,EnergyAustralia,,,,,,,,,,,,,,,,145.27
2023-06-20 00:00:00,ROTI BAR AUSTRALIA VI AUS Card   ,,,,,,,,,,,,,,,,39.36
2023-06-21 00:00:00,XING FU TANG MELB MELBOURNE VI AUS Card   ,,,,,,,,,,,,,,,,14.82
2023-06-23 00:00:00,YOMG Moonee Ponds Moonee Ponds AU,,,,,,,,,,,,,,,,15.5
2023-06-24 00:00:00,Transfer To Zhijie Cao CommBank App Birthday Meal - Hua,30.0,,,,,,,,,,,,,,,
2023-06-25 00:00:00,McDonalds,,30.7,,,,,,,,,,,,,,
2023-06-25 00:00:00,Transfer To Liam Kelly CommBank App Hua - Spodermun ticket,,,,,,,,,,,,,,,,26.0
2023-06-25 00:00:00,Transfer To Viv Zou CommBank App Zj's card - Hua,13.0,,,,,,,,,,,,,,,
2023-06-25 00:00:00,LAKSA HUT BURNSIDE HEIGAU Card ,,,,,,,,,,,,,,,,17.58
2023-06-27 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2023-06-27 00:00:00,Myki,,,,,10.0,,,,,,,,,,,
2023-06-30 00:00:00,Belong,,,,,,,,,,,,,,,,1.0
2023-06-30 00:00:00,Belong,,,,,,,,,,,,,,,,30.0
2023-07-01 00:00:00,TurnTheCornerMedical Northcote VI AUS Card   ,,,,,,,,,,,,,,,,86.0
2023-07-01 00:00:00,PlaystationNetwork LONDON GB GBR Card  AUD 11.98  ,,,,,,,,,,,,,,,,11.98
2023-07-04 00:00:00,Nintendo CA1012037785 Scoresby AU AUS Card   ,,,,,,75.59,,,,,,,,,,
2023-07-04 00:00:00,Optus,,,,24.5,,,,,,,,,,,,
2023-07-05 00:00:00,LS ZSG MOONEE PONDS Moonee Ponds AU,,,,,,,,,,,,,,,,13.63
2023-07-06 00:00:00, CENTRECOMSU Sydney AU,,,,,,,,,,,,,,,,86.02
2023-07-07 00:00:00,Noodlebox,,16.21,,,,,,,,,,,,,,
2023-07-10 00:00:00,Transfer To Everyday Offset CommBank App Transfer,,,,,,,,,,,2680.59,,,,,
2023-07-11 00:00:00,Mastercard Autopay,,,,,,,,,,3898.96,,,,,,
2023-07-12 00:00:00,Allison Browning,,,,,,,,,,,,,,,,220.0
2023-07-12 00:00:00,Crunchyroll,,,,10.99,,,,,,,,,,,,
2023-07-12 00:00:00,LS ZSG MOONEE PONDS Moonee Ponds AU,,,,,,,,,,,,,,,,13.63
2023-07-12 00:00:00,McDonalds,,43.3,,,,,,,,,,,,,,
2023-07-13 00:00:00,Spotify Sydney AU AUS Card   ,,,,11.99,,,,,,,,,,,,
2023-07-14 00:00:00,SMPLai Bakery Cafe Mo Moonee Ponds03 AU,,,,,,,,,,,,,,,,8.13
2023-07-14 00:00:00,YOMG Moonee Ponds Moonee Ponds AU,,,,,,,,,,,,,,,,19.9
2023-07-15 00:00:00,Sir Duke,,,,,,,,,,,,,,,,37.96
2023-07-15 00:00:00,ASIC NetBank BPAY 17301 2296264698145 ASIC Annual Review,,,,,,,,,,,,290.0,,,,
2023-07-15 00:00:00,VEC NetBank BPAY 120279 3003680111555520,,,,,,,,,,,,,,,,92.0
